Unnamed: 0,French,English
0,partie,part
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
12,aucun,no
13,laisse,leash
14,eux,them
16,chaque,each
17,parlé,speak
18,arrivé,come
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
25,revoir,meet again
28,compris,understood
29,savais,knew
30,voici,here is
32,affaire,case
34,train,train
35,corps,body
36,façon,way
38,dont,whose
39,trouve,find
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
46,vieux,old
47,sois,be
48,tiens,here
49,matin,morning
50,tellement,so much
51,point,point
54,venez,come
55,devant,in front of
56,vers,towards
57,minutes,minutes
58,demandé,request
59,chambre,bedroom
60,belle,beautiful
61,droit,law
62,aimerais,would like to
64,mari,husband
65,cause,cause
69,attendez,Wait
72,arrêter,Stop
73,dirait,would say
74,terre,Earth
75,compte,account
76,donne,given
77,loin,far
78,fin,end
79,croire,believe
80,chérie,sweetheart
81,gros,large
82,plutôt,rather
85,jouer,to play
86,bureau,office
